"left sensor","right sensor","left ultrasound sensor","right ultrasound sensor","left motor","right motor"
"0.04","0.02","0.0","0.81","-500","90"
"0.04","0.02","0.0","0.81","-500","90"
"0.04","0.02","0.0","0.81","-500","90"
"0.03","0.02","0.0","0.81","-500","80"
"0.03","0.02","0.0","0.5349999999999999","-500","80"
"0.03","0.02","0.0","0.8200000000000001","-500","80"
"0.03","0.01","0.75","0.7050000000000001","-500","-500"
"0.04","0.02","0.685","0.675","-500","-500"
"0.04","0.02","0.71","0.0","70","-500"
"0.04","0.02","0.5449999999999999","0.0","70","-500"
"0.05","0.02","0.39","0.0","70","-500"
"0.05","0.02","0.39","0.0","70","-500"
"0.05","0.02","0.4","0.0","70","-500"
"0.05","0.02","0.4","0.0","70","-500"
"0.04","0.02","0.18999999999999995","0.0","70","-289"
"0.04","0.02","0.18999999999999995","0.0","70","-289"
"0.04","0.02","0.0","0.0","70","90"
"0.03","0.02","0.0","0.0","70","80"
"0.03","0.02","0.0","0.0","70","80"
"0.03","0.03","0.0","0.0","80","80"
"0.03","0.03","0.0","0.0","80","80"
"0.03","0.05","0.0","0.0","100","80"
"0.03","0.07","0.0","0.0","120","80"
"0.03","0.1","0.0","0.0","150","80"
"0.04","0.12","0.0","0.0","169","90"
"0.04","0.13","0.0","0.0","180","90"
"0.04","0.13","0.0","0.0","180","90"
"0.04","0.13","0.0","0.0","180","90"
"0.04","0.12","0.0","0.0","169","90"
"0.03","0.1","0.0","0.0","150","80"
"0.03","0.08","0.0","0.0","130","80"
"0.03","0.08","0.0","0.43000000000000005","-500","80"
"0.03","0.09","0.0","0.43000000000000005","-500","80"
"0.04","0.12","0.0","0.0","169","90"
"0.03","0.12","0.0","0.0","169","80"
"0.03","0.12","0.0","0.0","169","80"
"0.03","0.12","0.0","0.0","169","80"
"0.03","0.13","0.0","0.0","180","80"
"0.03","0.14","0.0","0.0","190","80"
"0.03","0.15","0.0","0.0","200","80"
"0.03","0.14","0.0","0.0","190","80"
"0.03","0.12","0.0","0.0","169","80"
"0.03","0.1","0.0","0.0","150","80"
"0.02","0.07","0.0","0.0","120","70"
"0.02","0.05","0.0","0.0","100","70"
"0.02","0.04","0.0","0.0","90","70"
"0.02","0.04","0.0","0.0","90","70"
"0.02","0.04","0.0","0.0","90","70"
"0.02","0.05","0.0","0.0","100","70"
"0.02","0.05","0.0","0.0","100","70"
"0.02","0.06","0.0","0.0","110","70"
"0.02","0.06","0.0","0.0","110","70"
"0.02","0.06","0.0","0.0","110","70"
"0.02","0.06","0.0","0.0","110","70"
"0.02","0.05","0.0","0.0","100","70"
"0.02","0.04","0.0","0.0","90","70"
"0.02","0.04","0.0","0.0","90","70"
"0.02","0.05","0.0","0.0","100","70"
"0.02","0.04","0.0","0.0","90","70"
"0.02","0.04","0.0","0.0","90","70"
"0.02","0.04","0.0","0.0","90","70"
"0.02","0.04","0.0","0.0","90","70"
"0.02","0.04","0.0","0.0","90","70"
"0.02","0.04","0.0","0.0","90","70"
"0.02","0.04","0.0","0.0","90","70"
"0.02","0.04","0.0","0.0","90","70"
"0.02","0.05","0.0","0.0","100","70"
"0.02","0.05","0.0","0.0","100","70"
"0.02","0.05","0.0","0.0","100","70"
"0.02","0.05","0.0","0.0","100","70"
"0.02","0.05","0.0","0.0","100","70"
